="",="BI Score",="HOR Score"
="HOR Score",="0.127***",=""
="Eyes Test Score",="0.183***",="0.0484"
="Postseondary education",="0.0323",="0.0128"
="Risk Tolerance",="-0.0113",="-0.0451"
="Patience",="-0.00769",="0.0243"
="Openness",="0.0607*",="0.0280"
="Conscientiousness",="-0.000416",="0.0780**"
="Extraversion",="0.0738**",="0.0809**"
="Agreeableness",="0.0292",="0.0517"
="Neuroticism",="0.0652*",="0.0130"
="Note: * denotes significance at 0.10; ** at 0.05; *** at 0.01."
="* p<0.10, ** p<0.05, *** p<0.01"
