="",="Participants",="Dropouts",="Non-participants"
="",="(1)",="(2)",="(3)"
="",="",="",=""
="",="Mean (SD)",="Mean (SD)",="Mean (SD)"
="age",="58.47",="58.53",="58.27"
="",="(3.62)",="(3.54)",="(3.63)"
="Male",="0.49",="0.46",="0.48"
="",="(0.50)",="(0.50)",="(0.50)"
="Chinese",="0.91",="0.86",="0.87"
="",="(0.29)",="(0.35)",="(0.34)"
="Married",="0.82",="0.76",="0.83"
="",="(0.38)",="(0.43)",="(0.37)"
="Number of Children",="2.86",="2.76",="2.90"
="",="(1.09)",="(1.16)",="(1.12)"
="Tertiary education",="0.45",="0.45",="0.36"
="",="(0.50)",="(0.50)",="(0.48)"
="IST score",="10.83",="9.23",="9.47"
="",="(4.08)",="(4.15)",="(4.14)"
="Financial Planning Horizon",="0.50",="0.45",="0.43"
="",="(0.50)",="(0.50)",="(0.50)"
="Risk tolerance",="3.72",="3.73",="3.35"
="",="(2.47)",="(2.43)",="(2.42)"
="Self-efficacy ",="14.72",="14.48",="14.27"
="",="(2.52)",="(2.78)",="(2.45)"
="Personal Optimism ",="13.22",="13.10",="12.89"
="",="(2.59)",="(2.57)",="(2.37)"
="I(own labor income > 0)",="0.70",="0.70",="0.70"
="",="(0.46)",="(0.46)",="(0.46)"
="r_laborinc_pos",="50282.83",="51359.33",="41863.01"
="",="(63824.47)",="(70355.15)",="(50680.22)"
="Annual Own Labor Income (level)",="35263.59",="36031.78",="29122.09"
="",="(58190.38)",="(63430.74)",="(46446.78)"
="I(spouse labor income> 0)",="0.52",="0.47",="0.51"
="",="(0.50)",="(0.50)",="(0.50)"
="s_laborinc_pos",="47198.62",="40126.04",="44515.58"
="",="(56946.09)",="(47329.34)",="(55523.76)"
="Annual spouse Labor Income (level)",="29981.85",="24788.61",="26868.57"
="",="(50751.98)",="(41988.70)",="(48309.34)"
="Observations",="2146",="641",="808"
="Notes: This table is statistics based on crosssectional data of different waves but mainly on Wave 25 (August 2017)"
